0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:39 -0700] "POST /SRMS/util HTTP/1.1" 405 1113
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:40 -0700] "GET /SRMS/Utilization/Scrum HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:40 -0700] "GET /SRMS/util HTTP/1.1" 200 17039
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:48 -0700] "GET /SRMS/setDefaults/0/3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:48 -0700] "GET /SRMS/util HTTP/1.1" 200 16159
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:51 -0700] "GET /SRMS/setDefaults/0/1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:51 -0700] "GET /SRMS/util HTTP/1.1" 200 16159
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:54 -0700] "GET /SRMS/setDefaults/0/2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:54 -0700] "GET /SRMS/util HTTP/1.1" 200 16159
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:56 -0700] "POST /SRMS/util HTTP/1.1" 405 1113
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:56 -0700] "GET /SRMS/Utilization/Class HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:56 -0700] "GET /SRMS/util HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:58 -0700] "GET /SRMS/setDefaults/0/1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Sep/2018:10:07:58 -0700] "GET /SRMS/util HTTP/1.1" 200 16159
